Names,IC50_amylase
G_cowa,.133531621
G_cowa,.13348797
G_cowa,.13258872
P_debilis,.136870056
P_debilis,.137004509
P_debilis,.136889435
P_evecta_leaf,.136674822
P_evecta_leaf,.134144455
P_evecta_leaf,.134566309
E_cuneatum,.171532301
E_cuneatum,.164251297
E_cuneatum,.186662886
E_cherrevensis,.176732594
E_cherrevensis,.182894169
E_cherrevensis,.173493962
F_indica,.158998013
F_indica,.163765448
F_indica,.154955742
P_Kesiya,.110734917
P_Kesiya,.110631085
P_Kesiya,.112671948
R_javanica,.13509943
R_javanica,.136925867
R_javanica,.135987918
C_formosum,.165075142
C_formosum,.16198642
C_formosum,.17243936
D_castanea_leaf,.161299348
D_castanea_leaf,.16150857
D_castanea_leaf,.160221486
T_mucronata,.156587377
T_mucronata,.15455124
T_mucronata,.156910164
D_winitii,.11887918
D_winitii,.119152301
D_winitii,.118390711
B_ovata,.158688155
B_ovata,.157088139
B_ovata,.163882747
