Name_Short,Emax_amylase,Emax_glucosidase,IC50_amylase,IC50_glucosidase,Bioactivity_class_amylase,Bioactivity_class_glucosidase,Alkaloids,Antaquinones,Carotenoids,flavonoids,Reducing_sugars,Saponins,Tannins,Xanthones
G_cowa,99.6,51.1,0.13,0.63,active,active,0,0,0,0,0,2,2,2
P_debilis,99.5,50.0,0.14,0.72,active,active,3,0,0,5,3,0,0,0
P_evecta_leaf,93.9,52.0,0.14,0.57,active,active,0,0,0,3,0,3,2,0
P_evecta_Rhizome,35.8,50.6,,0.63,inactive,active,3,0,0,5,3,0,0,5
E_cuneatum,86.5,39.6,0.17,,active,inactive,3,0,0,2,0,3,3,0
P_anamense,35.1,54.5,,0.52,inactive,active,3,0,0,3,3,3,2,0
A_marginata,16.0,37.6,,,inactive,inactive,0,0,0,2,0,3,3,0
E_cherrevensis,77.8,39.8,0.18,,active,inactive,5,0,1,2,0,3,0,0
F_indica,84.4,39.1,0.16,,active,inactive,3,1,0,3,3,2,2,0
H_perforata,35.2,39.9,,,inactive,inactive,3,0,0,2,0,3,0,0
R_dumetorum,30.3,10.5,,,inactive,inactive,0,0,0,0,0,4,0,0
C_filiformis,35.6,36.7,,,inactive,inactive,0,0,0,4,0,0,0,5
P_Kesiya,94.9,52.3,0.11,0.6,active,active,0,0,0,3,0,1,3,0
A_pulchellus,24.7,15.9,,,inactive,inactive,0,0,0,3,0,4,0,0
T_loureiri,47.3,20.5,,,inactive,inactive,0,0,0,2,0,4,0,0
R_succedanea,29.9,31.6,,,inactive,inactive,3,0,0,1,0,4,0,5
R_javanica,82.1,38.9,0.14,,active,inactive,0,0,0,2,0,5,0,0
C_formosum,87.0,50.3,0.17,0.65,active,active,0,0,0,3,0,1,2,0
G_daltonii ,27.3,37.6,,,inactive,inactive,0,0,0,0,0,3,2,0
B_anceps,13.2,39.1,,,inactive,inactive,0,0,0,3,3,1,1,0
C_tomentosa,21.3,33.9,,,inactive,inactive,0,0,0,3,3,5,2,0
D_castanea_twig,42.1,29.7,,,inactive,inactive,0,0,0,2,0,3,0,0
D_castanea_leaf,84.1,20.9,0.16,,active,inactive,0,0,0,3,0,4,0,1
L_coromandelica,29.9,31.4,,,inactive,inactive,0,0,0,3,3,2,2,0
E_succirubrum,35.4,32.5,,,inactive,inactive,5,0,0,1,0,1,2,0
T_mucronata,95.7,9.7,0.16,,active,inactive,0,0,0,2,0,1,0,0
D_winitii,93.3,39.7,0.12,,active,inactive,0,0,0,5,0,3,0,0
B_insulana,92.3,32.7,0.16,,active,inactive,0,0,0,1,0,2,0,1
A_vanprukii,27.2,30.8,,,inactive,inactive,5,0,0,1,0,4,2,0
T_triptera,33.4,32.6,,,inactive,inactive,0,0,0,2,0,5,0,0
C_oblongifolius,12.6,53.0,,0.49,inactive,active,3,0,0,3,3,2,2,0
