,PC1,PC2,PC3,PC4,PC5,PC6,Bioactivity_class_amylase,Bioactivity_class_glucosidase,Bioactivity_class
G_cowa,-1.13712293437915,-0.47151458605545554,1.4022157218942384,2.333298795653647,1.3572065952922694,0.5861116627440938,active,active,active_both
P_debilis,3.983071713184841,-0.6681520074809485,-1.7062415251186336,-0.8655960765475618,-1.605006959183721,0.7128298694464038,active,active,active_both
P_evecta_leaf,-1.1809419524059772,-0.5834955354181093,-0.853200813878189,0.3964422625879397,-0.0634647667715423,-1.181857993658615,active,active,active_both
P_evecta_Rhizome,5.55386281825474,-2.4941542969425234,1.8997117789146687,-0.8391139487941021,0.751199230136752,-0.0802710810510177,inactive,active,active_glucosidase
E_cuneatum,0.23058564509408844,2.2752215721282707,-0.2728334368487302,0.9886050005085859,0.26454802126602533,-1.3508494293373956,active,inactive,active_amylase
P_anamense,1.7916912962938485,1.4478871597211076,-1.589100487748059,-0.8886120172440374,1.0864446109055816,0.04002409724243544,inactive,active,active_glucosidase
A_marginata,-1.5104252790049297,0.0071902886893284975,-0.9136222577470032,1.3591065049254376,0.7150269666083543,-1.1187671415196618,inactive,inactive,inactive
E_cherrevensis,1.2950969439106037,3.2041213515505125,1.2450415274777744,-0.8895763267883604,-1.566359053433064,0.1312780661089769,active,inactive,active_amylase
F_indica,2.321658226171641,1.1488805689705108,-1.6916004368313813,-0.24466545708924758,0.7323474060283844,0.3242366718827205,active,inactive,active_amylase
H_perforata,0.12373361299211931,1.6571018046156352,0.8007940839528865,-0.6225721863300752,-1.2145822580948726,0.27875889202013066,inactive,inactive,inactive
R_dumetorum,-2.85828324027048,0.46991816404553793,0.8342420308874637,-0.050308463587825154,0.18494933554315438,1.457099272860163,inactive,inactive,inactive
C_filiformis,2.216128898921972,-4.140891090478514,2.93306584918293,0.8715455110958191,-0.11326184061410771,-0.6958595460272728,inactive,inactive,inactive
P_Kesiya,-0.12371543257659606,-1.0005672922386848,-1.36973260421753,2.232397608448474,-0.3267334092042493,-1.192402449789874,active,active,active_both
A_pulchellus,-1.7629812283716522,-0.6840195407641394,-0.05812115830771035,-1.3271240037616583,-0.6713955852356378,-0.3617816049142227,inactive,inactive,inactive
T_loureiri,-2.1280818990045947,-0.2993736391609136,0.23933323809068094,-0.9015188237037138,-0.38594727830937364,0.24451202101057268,inactive,inactive,inactive
R_succedanea,0.8186194595313797,0.5273012564196801,4.783529759420648,-0.8199330203091616,1.8052282725950344,-0.17437759137978717,inactive,inactive,inactive
R_javanica,-2.6388864869022903,0.012182200501480138,0.3186612131267486,-1.5509669654942044,-0.0077912438662039035,-0.02181713781671895,active,inactive,active_amylase
C_formosum,-0.15933277661058579,-1.2066072147428966,-1.0118567639503244,1.6953385461689205,-0.8197768356578821,-0.6491996760040317,active,active,active_both
G_daltonii ,-2.2762439643048054,0.5704421693915681,0.03916237531698498,1.6732578027617726,0.7928801540072498,0.6370228841157708,inactive,inactive,inactive
B_anceps,1.036672203956231,-1.6492957255468341,-2.0306694184512617,0.24372670847424183,0.28756806090793846,1.3479674765005942,inactive,inactive,inactive
C_tomentosa,-0.970928803600562,-0.19703244439304754,-2.0712333585741964,-1.8170067964081666,2.2932356251342503,-0.2605519325944142,inactive,inactive,inactive
D_castanea_twig,-1.617277311106899,-0.6109294788233072,0.16000526305461335,-0.25207068191322335,-0.7641033127525435,0.5108411798378644,inactive,inactive,inactive
D_castanea_leaf,-1.4488230073576724,-1.0492199986564543,0.6630695024989501,-1.3218275782109663,-0.2001543473715431,-0.520401795013707,active,inactive,active_amylase
L_coromandelica,0.561484960092525,-1.1316999633802285,-2.309217283682399,0.13133762896330503,1.158767521804741,0.5384355438874607,inactive,inactive,inactive
E_succirubrum,2.012150755621893,3.3427367275284596,0.6510333970102465,1.9290463989233895,-0.9996784640425689,0.1765837628160028,inactive,inactive,inactive
T_mucronata,-0.5956681353115079,-1.2340411581480943,0.0013493129824780504,1.0468256016677575,-1.520415381638883,1.0434994974924476,active,inactive,active_amylase
D_winitii,-0.521975299208071,-1.7648671836329846,-0.7323579261405605,-1.5288862220870565,-1.6204482335313357,-1.3080396979365219,active,inactive,active_amylase
B_insulana,-1.1574151728281665,-0.9030398747747901,1.0993223452235974,0.8282790654859034,-0.3855698024053546,1.224843774490467,active,inactive,active_amylase
A_vanprukii,0.4797369919288061,4.277404246515641,0.8890173221184495,-0.01929802644808199,0.13478963928694052,-0.6224037136658721,inactive,inactive,inactive
T_triptera,-2.6388864869022903,0.012182200501480138,0.3186612131267486,-1.5509669654942044,-0.0077912438662039035,-0.02181713781671895,inactive,inactive,inactive
C_oblongifolius,2.3024958841915435,1.1363313200587142,-1.6684284627841266,-0.2391638754535469,0.7082885764624117,0.306353256069727,inactive,active,active_glucosidase
